BDR,BLR,BSR,NBD,NBL,NBS,RR_even,RR_odd
3,5,6,2,2,4,19,22
4,4,3,1,1,1,20,17
7,6,5,5,4,2,29,28
6,5,5,2,2,2,24,20
7,4,6,3,2,3,39,36
4,3,5,1,1,1,23,18
5,3,3,1,1,2,16,16
5,4,6,3,3,1,27,31
4,5,6,5,1,3,29,23
11, ,6,2,3,3,22,21
7,6,4,7,4,2,33,36
7,5,6,6,2,2,24,28
6,3,4,2,2,2,20,21
5,6,5,3,1,2,30,27
7,6,6,3,5,5,35,32
4,4,6,4,3,4,32,30
8,6,6,5,3,3,23,22
8,5,6,8,5,4,40,40
6,5,6,5,3,2,23,21
6,6,5,8,4,5,36,30
 ,5,6,5,3,3,16,13
6,5,6,2,2,5,23,19
6,4,5,3,4,2,18,19
3,4,3,2,2,2,21,19
3,5,4,1,1,1,21,16
7,5,6,4,5,6,28,30
3,4,5,2,8,6,12,16
8,4,6,7,6,3,38,39
4,6,7,3,4,2,31,29
3,5,6,3,1,2,30,30
3,5,7,4,5,6,31,27
6,6,6,3,4,2,30,30
3,3,5,1,1,2,19,21
3,4,3,1,3,2,34,26
7,3,5,4,2,2,22,25
5,5,6,6,2,4,31,32
7,7,5,4,2,3,20,20
4,4,6,2,4,2,19,16
8,6,5,3,2,2,18,17
3,3,3,2,3,5,27,23
8,6,6,5,3,4,26,23
11,6,4,2,2,3,35,33
6,6,5,3,4,4,27,22
4,4,3,2,1,3,12,12
7,3,3,3,3,2,32,30
7,6,6,4,2,2,28,26
5,4,6,2,2,2,20,16
3,3,3,4,5,3,19,22
6,4,3,5,1,4,26,27
5,5,4,8,4,5,19,16
3,3,3,3,1,3,19,20
3,4,5,5,4,6,33,35
6,5,4,4,3,3,25,21
6,5,5,1,5,5,27,24
4,5,6,3,4,2,22,25
3,4,5,3,3,4,28,23
4,3,6,1,1,1,14,14
3,4,3,2,4,1,7,13
4,5,5,3,2,3,20,16
3,5,5,3,3,2,25,22
7,3,4,3,3,2,21,18
6,5,6,6,5,2,35,39
6,5,3,4,4,3,17,19
3,3,6,2,1,1,15,17
4,4,5,2,2,1,13,11
3,3,6,8,5,5,24,24
8,9,6,5,4,4,36,37
3,3,3,3,3,2,26,26
3,3,4,2,2,3,11,11
3,4,5,4,2,5,28,17
6,6,6,3,2,1,13,15
6,6,7,3,3,4,38,38
3,4,4,2,7,4,36,28
10,7,5,2,3,2,25,26
5,4,3,1,1,1,18,16
4,4,6,1,2,2,25,24
3,4,4,5,5,2,21,19
5,5,8,4,8, ,38,38
6,6,6,3,4,2,21,21
6,6,5,1,2,2,32,29
7,5,6,3,3,2,24,16
5,3,5,3,3,2,27,24
7,6,6,5,2,4,30,28
9,5,6,6,4,5,37,29
4,3,4,2,1,2,17,18
4,3,6,3,4,3,32,28
7,5,6,3,3,3,40,38
7,5,6,4,4,2,39,34
5,4,5,3,5,3,28,29
3,4,3,3,4,5,24,23
5,5,6,6,6,7,34,30
4,3,3,3,2,1,26,21
7,4,6,3,3,2,30,34
5,5,5,1,1,1,22,17
3,4,7,5,4,3,34,33
8,6,3,3,7,4,38,29
8,5,6,3,4, ,20,20
3,3,4,3,1,1,11,11
3,4,6,4,4,2,18,22
8, ,3,8, ,2,22,20
7,5,5,5,4,4,26,21
3,3,5,2,2,1,12,11
8,5,6,5,5,7,29,27
5,4,5,5,3,6,15,14
7,5,6,6,1,2,33,28
3,3,5,4,2,2,19,22
10,8,6,3,3,2,23,17
8,6,6,3,3,4,21,22
6,3,3,2,3,1,26,23
3,3,5,3,4,1,18,19
4,5,6,2,1,2,31,25
5,4,3,2,5,2,30,30
6,5,6,2,3,5,30,27
5,5,3,9,6,5,27,25
5,5,5,5,3,4,28,22
5,4,6,3,2,3,30,27
5,4,6,2,2,5,19,22
5,4,5,4,3,4,31,30
7,5,6,3,3,6,34,32
7,6,6,4,4,2,36,35
5,3,6,3,4,5,38,36
6,8,4,6,6,6,33,31
6,4,4,2,2,2,30,28
5,5,8,8,4,4,32,32
9,4,6,2,4,3,26,31
3,3,4,1,1,1,9,12
5,5,6,3,1,2,37,33
6,3,6,6,5,4,35,29
7,6,7,3,4,6,38,34
6,6,6,6,5,3,26,28
8,6,6,4,7,3,27,29
8,6,5,1,5,3,22,24
7,3,5,3,1,2,35,33
7,6,6, ,4,2,37,37
6,6,6,3,8,5,39,38
8,5,6,3,3,3,37,35
6,4,3,5,1,2,28,29
7,7,5,5,4,4,24,22
8,6,6,3,4,1,20,21
5,5,5,3,1,1,22,23
3,4,3,1,1,1,12,13
6,5,6,4,1,3,30,30
10,3,5,3,2,2,13,14
5,4,4,3,1,4,16,15
3,3,6,3,1,2,20,12
4,3,3,1,1,1,13,8
4,3,6,4,1,1,16,15
5,5,5,2,3,2,20,20
3,4,6,2,4,2,23,25
6,5,6,3,4,2,20,23
6,7,6,3,4,2,35,33
5,4,6,3,2,2,33,33
6,4,6,3,2,6,27,25
5,4,5,3,4,1,16,20
3,3,5,4,2,2,29,28
5,4,5,2,3,1,22,25
6,7,6,3,2,1,25,24
8,4,4, ,2,1,17,11
7,6,5,2,2,2,14,11
6,6,7,3,4,6,31,26
5,4,6,3,5,5,37,33
4, ,3,3,2,1,9,11
6,4,6,3,4,3,31,30
5,3,6,5,3,6,32,33
5,5,6,5,3,1,9,13
9,3,5,2,4,3,27,25
5,3,6,5,4,2,24,25
6,6,5,3,2,1,26,22
4,4,6,2,3,5,18,12
4,5,6,1,1,1,14,13
4,4,4,1,2,3,19,18
6,5,6,5,4,2,37,35
4,4,5,2,4,3,31,23
9, ,4,7,4,6,11,14
10,9,4,1,1,1,18,21
5,3,3,3,1,1,22,23
5,4,3,3,4,5,28,21
3,3,7,2,5,5,16,15
7,6,7,5,4,3,31,26
5,3,7,3,4,3,32,29
4,3,3,3,2,3,26,17
8,5,6,6,5,8,28,20
5,4,4,3,3,2,19,17
6,6,6,3,3,4,33,27
3,3,3,3,3,2,10,14
5,3,7,6,6,6,35,35
4,4,6,2,3,5,23,23
6,6,3,3,3,2,29,22
6,6,6,3,3,2,27,29
4,3,6,3,3,1,18,18
3,4,4,2,3,3,16,19
6,5,4,3,4,2,29,23
5,4,7,4,4,6,23,25
4,4,6,5,3,6,26,26
6,5,6,3,3,5,33,28
9,6,6,2,5,2,33,31
8,7,4,3,4,2,31,29
7,5,5,3,4,5,29,26
4,4,3,3,1,2,17,17
8,5,6,3,4,2,34,33
7,6,6,1,3,2,25,23
4,4,5,4,3,4,18,15
6,4,6,4,8,3,29,26
3,3,6,5,5,4,16,17
5,4,6,5,1,2,20,22
7,6,3,2,4,2,32,30
3,3,5,1,2,1,22,13
5,5,7,5,5,3,29,30
4,4,5,1,1,1,13,11
7,5,7,4,6,2,35,36
4,4,6,3,2,2,28,31
6,3,6,3,2,2,18,18
5,7,6,5,4,8,31,30
6,3,6,3,2,2,18,19
5,3,3,2,2,2,31,30
3,4,6,1,1,1,31,29
3,3,3,3,2,1,14,14
7,5,4,3,4,3,24,24
7,3,5,4, ,2,21,16
6,4,6,4,4,3,36,31
6,3,6,5,3,2,22,24
