SEX,AGE,RAMP,ANALOGIES,NUMBER_SERIES,PATTER_COMPL,CSPAN,SSPAN,MENTAL_COUNTERS,CHANGE_DETECTION,TASK_ENG1,TASK_ENG2,TASK_ENG3,STAI1,STAI2,STAI3,clock1,clock2,clock3,FD_LENGTH,FD_ORIENT,FD_BRIGHT,FM_SIZE,FM_ORIENT,FM_BRIGHT,DD_FILLED_VISUAL,DD_EMPTY_VISUAL,IT_CIRCLES,IT_LINES,IT_SQUAR,DD_EMPTY_AUDITORY,DD_FILLED_AUDITORY,PITCH1,PITCH2,LOUDNESS
M,30,8,9,4,1,0.47,0.76,0.25,4.25,0.84,0.86,0.86,0.32,0.45,0.43,0.63,0.55,0.38,-6.5,-1.75,-2.75,-23,-18,-35.25,-175.35,-217.1,-112.725,-102.983333,-50.1,-215,-60,-8.5,-8,-0.0875
M,23,14,12,8,13,0.79,0.7,0.51,6.36,0.86,0.86,1,0.43,0.35,0.32,0.9,1,0.81,-8.5,-4.75,-3.25,-24.5,-9.75,-24.75,-125.25,-116.9,-70.975,-58.45,-54.275,-95,-67.5,-8,-11.5,-0.05
K,22,13,16,14,11,0.67,0.54,0.29,5.25,0.64,0.64,0.62,0.38,0.38,0.42,0.94,1,0.94,-10.25,-3.5,-6.25,-17.75,-9,-32.25,-217.1,-200.4,-137.775,-137.775,-70.975,-237.5,-135,-15,-9.5,-0.0625
K,18,14,17,9,12,0.96,0.69,0.53,5.25,0.88,0.96,0.84,0.25,0.22,0.3,0.82,0.72,1,-8,-4.5,-4,-8,-15.75,-30,-217.1,-150.3,-87.675,-91.85,-66.8,-200,-127.5,-12.5,-12.75,-0.0625
K,25,6,6,5,4,0.68,0.42,0.01,5.5,0.88,0.8,0.86,0.22,0.27,0.28,0.77,0.9,0.94,-8.25,-3.75,-5.75,-6.5,-15.75,-46.5,-183.7,-150.3,-121.075,-121.075,-54.275,-177.5,-90,-9,-11.25,-25
M,20,10,17,9,15,0.96,0.98,0.52,8.42,0.84,0.84,0.84,0.18,0.17,0.17,1,1,1,-6.5,-1.25,-3.75,-13.25,-9,-45.75,-125.25,-116.9,-58.45,-41.75,-41.75,-162.5,-105,-10.25,-14,-0.0625
M,18,10,13,10,13,0.5,0.54,0.35,3.33,0.82,0.7,0.82,0.37,0.43,0.38,0.36,0.65,0.71,-13.5,-4.5,-2.75,-20,-19.5,-58.5,-250.5,-242.15,-171.175,-96.025,-87.675,-230,-157.5,-10.5,-22.5,-275
K,21,11,16,9,12,0.62,0.53,-0.15,6,0.92,0.9,0.56,0.27,0.25,0.27,0.95,0.93,0.79,-6.5,-5,-2.5,-14.75,-11.25,-42.75,-150.3,-158.65,-50.1,-50.1,-41.75,-155,-142.5,-12.5,-14.5,-125
K,24,14,15,10,6,0.58,0.63,0.43,4.17,0.88,0.78,0.6,0.3,0.28,0.27,1,1,0.91,-9.5,-3,-2,-27.5,-8.25,-38.25,-75.15,-167,-75.15,-50.1,-50.1,-80,-112.5,-8.5,-13,-75
K,21,12,12,9,9,0.73,0.56,-0.05,6.38,1,1,1,0.18,0.17,0.17,1,1,0.95,-6,-2,-3.75,-14,-13.5,-51.75,-150.3,-317.3,-129.425,-83.5,-75.15,-95,-37.5,-2.75,-8.25,-0.0625
K,35,13,13,11,9,0.48,0.61,0.13,2,0.68,0.68,0.6,0.47,0.39,0.53,0.5,0.56,0.53,-16.75,-9.33333333,-8.75,-20,-24.75,-43.5,-325.65,-392.45,-83.5,-83.5,-83.5,-282.5,-232.5,-29.5,-21.5,-125
M,25,10,11,9,11,0.62,0.37,-0.05,5.08,0.96,0.92,0.84,0.28,0.3,0.33,0.89,0.67,0.92,-9,-1.5,-4,-12.5,-9,-34.5,-141.95,-192.05,-70.975,-75.15,-54.275,-215,-172.5,-13,-15.5,-0.1375
K,23,13,15,12,13,0.92,0.86,0.73,6.58,0.94,0.78,1,0.27,0.25,0.17,0.86,0.8,0.6,-8.5,-4.75,-1.75,-14.75,-13.5,-19.5,-183.7,-116.9,-41.75,-50.1,-16.7,-237.5,-135,-1.5,-2.5,-0.0375
K,24,6,7,4,9,0.39,0.43,-0.11,4.92,0.88,0.84,0.98,0.22,0.23,0.22,0.92,1,0.93,-6,-7.25,-2.5,-15.5,-13.5,-31.5,-192.05,-100.2,-87.675,-61.2333333,-75.15,-335,-90,-6,-8.25,-0.05
M,29,12,12,6,6,0.59,0.48,0.31,3.92,0.86,0.84,0.88,0.33,0.28,0.23,0.94,1,0.75,-7.5,-1.5,-3.25,-15.5,-9,-34.5,-150.3,-83.5,-104.375,-66.8,-75.15,-117.5,-150,-9,-6,-25
K,21,11,8,9,11,0.71,0.46,0.13,5.25,0.76,0.76,0.7,0.27,0.27,0.27,0.82,0.73,0.66,-10.25,-4.25,-4.75,-11,-19.5,-39.75,-267.2,-125.25,-100.2,-66.8,-79.325,-282.5,-202.5,-13,-13,-0.1375
K,21,12,8,6,6,0.62,0.39,0.07,3.58,0.88,0.92,0.92,0.25,0.32,0.32,0.9,0.71,0.36,-5.75,-3.5,-2.5,-14.75,-19.5,-27.75,-192.05,-208.75,-41.75,-66.8,-33.4,-95,-120,-13.25,-9.5,-0.0375
K,24,13,12,9,5,0.74,0.57,0.37,5.17,0.9,0.88,0.88,0.4,0.33,0.33,0.76,0.82,0.85,-8.75,-1.25,-3,-13.25,-9.75,-39,-100.2,-133.6,-50.1,-58.45,-79.325,-102.5,-165,-11.5,-19.25,-0.1
K,28,6,9,6,7,0.67,0.4,0.12,3.5,0.68,0.72,0.7,0.48,0.4,0.48,0.93,0.8,0.44,-8.25,-12.6666667,-6.5,-21.5,-11.25,-45,-133.6,-83.5,-96.025,-116.9,-79.325,-320,-270,-18.75,-24,-0.0875
K,20,12,16,11,14,0.91,0.43,0.23,6.92,0.96,0.94,0.94,0.2,0.2,0.2,0.94,0.88,0.92,-11,-2.75,-5.75,-22.25,-12.75,-17.25,-242.15,-167,-37.575,-62.625,-62.625,-140,-172.5,-5,-4.75,-75
M,20,14,16,10,9,0.7,0.5,0.16,5.42,0.84,0.82,0.92,0.23,0.25,0.3,1,1,0.89,-10.5,-4,-2.5,-13.25,-15.75,-36.75,-116.9,-141.95,-108.55,-62.625,-58.45,-155,-45,-8.75,-19.75,-0.1375
K,36,9,12,11,7,0.64,0.42,0.09,3.42,0.8,0.82,0.8,0.35,0.33,0.33,0.89,0.67,0.56,-10.5,-5.25,-4.75,-14.75,-18.75,-55.5,-350.7,-233.8,-112.725,-146.125,-79.325,-132.5,-157.5,-10.5,-11.25,-0.0875
M,21,13,14,8,13,0.61,0.77,0.51,4.92,0.96,0.94,0.92,0.37,0.28,0.32,1,0.89,0.88,-8,-1.25,-5.75,-20.75,-16.5,-43.5,-100.2,-83.5,-58.45,-41.75,-58.45,-95,-82.5,-2.75,-6.25,-0.1
M,23,12,12,7,11,0.74,0.44,0.27,3.92,0.82,0.78,0.86,0.3,0.32,0.27,0.17,0.6,0.68,-5.25,-5.75,-3.25,-20,-21.75,-42,-192.05,-300.6,-66.8,-62.625,-54.275,-147.5,-30,-6.75,-5,-0.1
M,22,15,14,13,15,0.82,0.71,0.57,5.42,0.92,0.9,0.86,0.25,0.32,0.32,0.94,0.94,1,-3.75,-2,-4.25,-11,-11.25,-47.25,-183.7,-167,-79.325,-75.15,-58.45,-147.5,-97.5,-7.75,-17.5,-75
M,38,9,6,5,7.66666667,0.57,0.41,0.24,5.58,0.86,0.86,0.8,0.43,0.32,0.22,0.71,0.5,0.5,-4.5,-2.75,-3.25,-8.75,-12.75,-39.5,-108.55,-150.3,-45.925,-54.275,-41.75,-125,-135,-2.5,-5.5,-0.0375
K,19,8,11,6,7,0.73,0.51,-0.2,4.25,0.84,0.84,0.88,0.23,0.23,0.2,0.94,0.76,0.8,-8.33333333,-9.5,-3,-14.75,-17.25,-33.75,-242.15,-192.05,-83.5,-66.8,-54.275,-162.5,-82.5,-7.5,-22.75,-0.1
K,19,9,11,11,9,0.6,0.41,0.16,3.42,0.96,0.9,1,0.47,0.63,0.5,0.69,0.67,0.63,-7.75,-3.5,-3.75,-20.75,-13.5,-27,-242.15,-233.8,-75.15,-41.75,-50.1,-192.5,-105,-7,-10,-0.1375
M,28,12,12,8,9,0.43,0.44,0.2,3.67,0.78,0.76,0.72,0.48,0.43,0.42,0.83,0.94,0.86,-7.25,-2.5,-2.5,-26.75,-16.5,-31.5,-250.5,-217.1,-58.45,-108.55,-70.975,-320,-127.5,-9.5,-10.25,-0.1125
K,33,10,10,8,8,0.58,0.6,0.04,5.67,0.84,0.88,0.8,0.27,0.23,0.2,0.83,0.42,0.13,-9.5,-1.5,-3,-8.75,-8.25,-24.75,-250.5,-116.9,-70.975,-58.45,-62.625,-215,-112.5,-9,-11.5,-0.1625
K,24,10,13,5,8,0.44,0.46,-0.09,3.33,0.86,0.84,0.8,0.38,0.32,0.27,0.73,0.74,0.67,-6.5,-11,-5.25,-8,-16,-48.75,-158.65,-217.1,-87.675,-83.5,-62.625,-155,-150,-7.5,-12,-0.1
K,18,9,9,5,9,0.49,0.52,0.09,5.33,0.86,0.92,0.84,0.17,0.17,0.17,0.78,0.93,0.71,-7.25,-7,-5,-22.25,-10.5,-28.5,-147.516667,-183.7,-75.15,-125.25,-33.4,-335,-195,-10.25,-13.4583333,-125
K,26,13,12,8,10,0.57,0.59,0.18,5.83,0.78,0.74,0.74,0.57,0.52,0.5,1,1,0.94,-7.25,-6.25,-4.75,-14,-13.5,-36.75,-158.65,-250.5,-62.625,-54.275,-45.925,-245,-75,-2.5,-5.33333333,-25
M,18,13,11,8,12,0.99,0.68,0.34,4.42,0.9,0.84,0.86,0.27,0.27,0.27,0.73,1,0.93,-8.25,-1.5,-3.66666667,-12.5,-7.5,-27.75,-175.35,-200.4,-66.8,-70.975,-58.45,-162.5,-142.5,-2.5,-2,-0.1375
M,28,8,8,8,6,0.72,0.44,0.19,4.25,0.8,0.84,0.84,0.2,0.28,0.17,0.83,0.59,0.62,-7.75,-5.25,-4.75,-4,-17.25,-29.25,-167,-150.3,-79.325,-91.85,-62.625,-260,-60,-9.5,-10,-25
M,22,13,16,10,10,0.87,0.71,0.33,5.83,0.84,0.76,0.82,0.17,0.17,0.22,0.73,0.66,0.25,-7.75,-4,-4.75,-14,-9.75,-36,-225.45,-141.95,-70.975,-54.275,-16.7,-170,-105,-4,-2,-0.0625
K,22,11,10,9,4,0.7,0.33,0.07,3.17,0.86,0.86,0.9,0.18,0.17,0.17,0.29,0.29,0.06,-7.25,-6,-5.75,-13.25,-26.25,-45,-317.3,-258.85,-104.375,-62.625,-108.55,-267.5,-120,-14,-11.75,-0.1125
K,38,10,7,5,7,0.53,0.16,-0.12,3.67,0.96,0.84,0.68,0.18,0.5,0.38,0.71,0.77,0.67,-11,-4.5,-5.5,-12.5,-20.25,-30,-233.8,-208.75,-75.15,-75.15,-104.375,-290,-127.5,-9.25,-15.5,-0.05
K,39,8,7,7,6.83333333,0.57,0.38,0.24,3.75,0.84,0.8,0.78,0.25,0.33,0.3,1,0.86,0.92,-4.5,-8.75,-4.5,-16.25,-18,-41.25,-300.6,-125.25,-100.2,-83.5,-50.1,-102.5,-45,-9.5,-4.25,-25
K,25,16,14,13,11,0.6,0.52,0.56,6.67,0.92,0.82,0.96,0.27,0.27,0.17,1,1,0.93,-7.25,-4.75,-2.75,-6.5,-18,-15,-150.3,-158.65,-45.925,-45.925,-45.925,-245,-82.5,-8.75,-9.5,-0.0625
K,23,11,7,6,6,0.44,0.49,0.36,5,0.92,0.84,0.98,0.23,0.23,0.18,1,0.95,0.87,-12,-2.5,-3.75,-11,-15.75,-30,-200.4,-208.75,-75.15,-87.675,-45.925,-140,-120,-6.75,-25.5,-0.0625
K,18,13,11,7,11,0.89,0.58,0.27,5.92,0.74,0.5,1,0.47,0.47,0.18,0.83,0.81,0.67,-10.75,-3.25,-3.75,-14,-15,-30.75,-225.45,-217.1,-58.45,-58.45,-37.575,-132.5,-120,-12.5,-11.5,-0.1375
M,,10,12,8,12,0.49,0.46,0.19,8.08,0.86,0.76,0.74,0.27,0.25,0.27,0.93,0.88,0.12,-6.5,-2.75,-2,-9.5,-10.5,-24,-125.25,-108.55,-62.625,-50.1,-87.675,-207.5,-75,-8.25,-15.5,-0.0625
K,23,11,10,7,9,0.56,0.41,-0.04,5,0.94,0.9,0.94,0.25,0.23,0.17,0.8,0.73,0.77,-6.25,-4,-0.75,-9.5,-6,-41.25,-158.65,-183.7,-100.2,-66.8,-66.8,-102.5,-82.5,-7.75,-11,-25
K,25,13,14,7,11,0.68,0.77,0.31,5.08,0.8,0.8,0.82,0.37,0.32,0.28,0.95,0.93,1,-9.5,-8.5,-6,-12.5,-15.75,-37.5,-108.55,-125.25,-58.45,-54.275,-58.45,-252.5,-120,-13,-10.5,-0.05
K,20,13,14,10,12,0.74,0.51,0.6,5.67,0.94,0.98,0.98,0.17,0.17,0.17,0.88,0.92,0.83,-8,-2.25,-6,-18.5,-7.5,-26.25,-141.95,-100.2,-38.9666667,-25.05,-41.75,-230,-165,-22,-18.25,-0.0625
