subject;age;gender;edu;hand;lens;cap;speed;mem;DDEdl;DDFdl;RPm;TG;S1Mean;S2Mean;S3Mean;S4Mean;S1_logm;S2_logm;S3_logm;S4_logm;SI
251;23;2;Matura;2;no;0.66;1.03;0.98;19.2;8.325;64.4;0.214285714;12.50259092;12.176415;23.48997247;36.14793719;1.097000021;1.085519441;1.370882508;1.558083519;0.461083497
252;19;2;Bachelor;1;no;0.63;1.5;0.35;8.975;11.6;56.8;0.266666667;16.26851788;21.19521072;24.77203103;22.66516717;1.211347989;1.326237739;1.393961615;1.355358927;0.144010938
253;21;2;Matura;1;yes;-0.13;0.03;1.38;32.6;5.275;65.2;0.244444444;21.95298825;25.10449101;23.10297468;26.69938294;1.341493645;1.399751421;1.363667902;1.426501224;0.085007579
254;22;2;Bachelor;1;no;0.36;0.01;-0.74;20.4;16.8;68.4;0.2;16.35301395;18.85576467;23.78062471;26.61057049;1.213597807;1.275444149;1.376223259;1.425054185;0.211456378
255;25;2;Bachelor;1;no;0.3;0.97;0.69;32.2;11.225;38.4;0.333333333;21.96942323;21.03364411;31.81243925;39.22210837;1.341818655;1.322914521;1.50259697;1.593530935;0.25171228
256;22;2;Bachelor;1;yes;-0.09;0.99;0.61;9.225;6.725;47.2;0.297297297;21.41743584;21.43875807;31.24114999;31.38358276;1.330767475;1.331199623;1.494727012;1.496702521;0.165935047
257;22;2;Bachelor;1;yes;0.23;0.77;1;24.8;8.525;39.2;0.282051282;26.2855646;36.36742774;34.72200684;47.83307448;1.41971731;1.560712585;1.540604818;1.679728296;0.260010986
260;21;2;Bachelor;1;yes;-0.69;-0.98;-0.92;31;19;50.275;0.166666667;25.89155898;23.18764916;39.28427766;43.89709063;1.413158201;1.365256721;1.594218772;1.642435737;0.229277536
262;30;2;Berufslehre;1;yes;-1.17;-0.3;0.56;12.4;6.8;40;0.103448276;20.6612765;29.25395179;61.96324825;114.8333915;1.31515715;1.466184541;1.792134176;2.060068192;0.744911042
263;19;2;Matura;1;no;0.99;-0.49;0.11;17.6;9.15;51.2;0.371428571;24.14336748;31.4862715;37.44121024;41.3359882;1.382797845;1.498121236;1.573349878;1.616328325;0.23353048
264;20;2;Matura;1;no;-0.79;0.61;0.73;16.5;5.475;74.8;0.224489796;20.15057835;20.58166142;24.75636467;29.82607608;1.304287516;1.313480429;1.393686871;1.474596121;0.170308606
265;20;2;Bachelor;1;no;-0.86;-0.73;-0.72;14;11.4;49.2;0.36;23.74541011;23.17207545;30.68235331;39.73168222;1.375579675;1.364964934;1.486888666;1.599136953;0.223557278
266;19;2;Bachelor;1;no;0.28;-0.33;-1.06;19.325;7.775;50;0.5;21.75059848;20.4177409;30.23659299;37.33128482;1.337471211;1.310007688;1.480532854;1.572072937;0.234601726
268;21;2;Bachelor;1;no;0.81;0.72;0.15;11;6.3;32.8;0.28;16.84643711;17.54589388;22.57201628;24.55693478;1.226508065;1.244175498;1.353570355;1.390174157;0.163666092
269;24;1;Matura;2;no;0.64;0.39;0.38;6.85;8.6;34.4;0.263157895;11.46130469;13.81781897;20.22278598;27.49509039;1.059234058;1.140439499;1.305840986;1.439255152;0.380021094
270;20;1;Bachelor;1;yes;0.39;-0.57;-0.42;19.6;7.7;35.2;0.393939394;17.58230996;19.02582892;20.64978429;27.85294771;1.245075932;1.279343587;1.314915519;1.444871164;0.199795232
